,median_income,median_house_value
0,6.6085,344700.0
1,3.599,176500.0
2,5.7934,270500.0
3,6.1359,330000.0
4,2.9375,81700.0
5,1.6635,67000.0
6,1.6641,67000.0
7,3.225,166900.0
8,3.6696,194400.0
9,2.3333,164200.0
10,2.2054,125000.0
11,2.4167,58300.0
12,4.69,252600.0
13,4.5625,231200.0
14,5.7121,222500.0
15,2.2,153100.0
16,1.875,181300.0
17,2.7174,137500.0
18,6.5851,300000.0
19,6.1724,414300.0
20,3.8913,126300.0
21,3.1786,83400.0
22,3.8644,241500.0
23,2.7788,115400.0
24,3.8156,150700.0
25,7.1615,484700.0
26,2.5403,250000.0
27,6.603,369200.0
28,1.583,350000.0
29,3.4852,425000.0
30,3.1486,105600.0
31,2.6182,172600.0
32,2.8102,128900.0
33,4.5237,141800.0
34,4.6389,183800.0
35,2.625,178700.0
36,2.5125,270800.0
37,5.5238,185300.0
38,3.6771,141500.0
39,4.693,232200.0
40,3.4231,83300.0
41,6.6783,275000.0
42,15.0001,500001.0
43,0.9838,79300.0
44,4.2891,214800.0
45,4.2826,237500.0
46,5.0808,212500.0
47,2.5398,105700.0
48,3.4231,123800.0
49,3.1049,173900.0
50,3.5877,160900.0
51,2.3516,47500.0
52,3.0682,156500.0
53,3.5313,187500.0
54,4.3409,191800.0
55,4.8523,175800.0
56,3.0903,91900.0
57,5.6385,196900.0
58,3.575,292200.0
59,3.9461,194300.0
60,5.8221,289400.0
61,5.898,229100.0
62,2.7153,265500.0
63,2.9063,77800.0
64,6.1273,289600.0
65,3.8409,291400.0
66,3.2246,129300.0
67,6.1561,233500.0
68,3.6602,120700.0
69,3.5855,174300.0
70,5.2831,299500.0
71,1.6888,125000.0
72,4.1379,212500.0
73,4.1369,316900.0
74,2.325,157300.0
75,3.4167,160700.0
76,3.2599,183100.0
77,3.1118,238100.0
78,6.8075,325900.0
79,7.494,439200.0
80,3.5167,137500.0
81,1.4801,212500.0
82,3.7,176000.0
83,3.0912,126300.0
84,4.3971,238900.0
85,3.5489,106400.0
86,3.5375,96700.0
87,2.6071,175900.0
88,2.1542,83800.0
89,4.0238,224200.0
90,2.8125,141700.0
91,5.1118,226900.0
92,4.3839,204600.0
93,5.0493,239800.0
94,7.5,295200.0
95,2.2466,96000.0
96,2.3194,90600.0
97,4.3029,121900.0
98,6.0,209400.0
99,2.2344,200000.0
100,1.85,116800.0
101,2.1917,112800.0
102,6.244,240000.0
103,4.2296,275000.0
104,1.6901,103500.0
105,1.8068,59000.0
106,4.0972,181400.0
107,5.215,279500.0
108,2.6371,159400.0
109,5.3292,300900.0
110,5.2017,364600.0
111,2.8529,85600.0
112,5.8777,358800.0
113,4.7931,272600.0
114,2.1422,125000.0
115,4.5625,318800.0
116,5.5137,161800.0
117,10.1007,500001.0
118,13.6623,500001.0
119,2.55,271400.0
120,4.3081,227300.0
121,1.6435,148500.0
122,1.9026,131900.0
123,2.9309,217100.0
124,10.5981,460100.0
125,3.1912,146400.0
126,2.6343,81500.0
127,6.6727,305100.0
128,4.75,500001.0
129,6.4962,182400.0
130,2.1357,187500.0
